イスラム〈王朝名〉,,
スペイン王国に敗北　→レコンキスタ完成,ナスル朝,
マンサ＝ムーサによるメッカ巡礼,マリ王国,
アンカラの戦いで敗北,オスマン帝国,相手はどこの誰？
カリフからスルタンの称号をもらった,セルジューク朝,
イクター制を創始したイスラーム王朝,ブワイフ朝,イクター制って何？
ティムール朝衰退でイランに建国,サファヴィー朝,
モンゴル帝国のフレグに滅ぼされたイスラーム王朝,アッバース朝,
ゴール朝を滅ぼす　モンゴル帝国の侵攻で滅亡,ホラズム＝シャー朝,
ガズナ朝を滅ぼして建国,ゴール朝,
十二イマーム派を国教に　イランなどにシーア派浸透,サファヴィー朝,
カリフから大アミールの称号をもらう,ブワイフ朝,
アフリカ　巨大な石造遺跡群,大ジンバブエ,
インド最初のイスラーム王朝,奴隷王朝,
2C-3Cに全盛期　アフリカ　4Cにキリスト教普及,アクスム王国,
トルコ系奴隷軍人を登用したイスラーム王朝,セルジューク朝,その奴隷軍人を何と呼ぶ？
ガーナ王国を滅ぼしたベルベル人の王朝,ムラービト朝,
エジプト　モンゴル軍の西進を阻止した,マムルーク朝,
ウマイヤ朝を倒して建国された,アッバース朝,最盛期の王は誰？
16C初に遊牧ウズベクの侵入で滅亡,ティムール朝,
アイバクが建国　イスラーム系王朝,奴隷王朝,
最古の黒人王国　現在のスーダン周辺,クシュ王国,
西チャガタイ＝ハン国から自立して建国,ティムール朝,
都：ブルサ　→のちに2度遷都した,オスマン帝国,どことどこ？タイミングは？
カイロを建設したシーア派王朝,ファーティマ朝,
12C-13Cのベルベル人のイスラーム王朝,ムワッヒド朝,
タラス河畔の戦いで勝利した,アッバース朝,どこに勝った？
ウルク＝ベクによる天文台建設,ティムール朝,
チャルディラーンの戦いで敗北,サファヴィー朝,
アラブ人第一主義を掲げた　都：ダマスクス,ウマイヤ朝,税制は？
10C末から北インドへ侵入　→インドのイスラーム化を招く,ガズナ朝,
アッバース朝時代にチュニジアにできた分裂王朝,ファーティマ朝,
中央アジア初のトルコ系イスラーム王朝,カラハン朝,
アンカラの戦いで大勝した,ティムール朝,相手はどこの誰？
トルコ系　サーマーン朝から自立して建国,ガズナ朝,
マムルーク朝を滅ぼした,オスマン帝国,
黒人初の大学（16C）　北アフリカとの交易で繁栄した,ソンガイ王国,
北インドを支配　ホラズム＝シャー朝に滅ぼされる,ゴール朝,
アッバース朝のカリフを保護　十字軍を撃退,マムルーク朝,十字軍撃退時のスルタンは誰？
カリフ＝スルタン制を手にした,オスマン帝国,
イスラームを受容　交易拠点：トンブクトゥ,マリ王国,
スレイマン1世のときに全盛期を迎える,オスマン帝国,
イル＝ハン国滅亡後のイラン・イラクを征服,ティムール朝,
エジプト　第3回十字軍と衝突,アイユーブ朝,この時のスルタンはだれ？
都：グラナダ　アルハンブラ宮殿を建てた,ナスル朝,
都：タブリーズ　イスマーイール1世が建国,サファヴィー朝,最盛期の王と都は誰とどこ？
11C-12Cのベルベル人によるイスラーム王朝,ムラービト朝,都はどこ？
ムスリム商人のサハラ縦断　ムラービト朝の侵入を受けた,ガーナ王国,
新都バグダードを建設した,アッバース朝,
イベリア半島を征服し西ゴート王国を滅ぼした,ウマイヤ朝,
都：コルドバ　10Cからカリフを称するように,後ウマイヤ朝,
カリフ世襲化を始めた　イスラーム世界を統一,ウマイヤ朝,
アッバース朝時代にエジプトにできた分裂王朝,トゥールーン朝,
ヴェネツィアなどの艦隊を破った,オスマン帝国,戦いの名前は？
カピチュレーションを外国に与えた,オスマン帝国,はじめはどこに与えた？
王号に「シャー」を使用した,サファヴィー朝,
第1回ウィーン包囲で神聖ローマ帝国を圧迫した,オスマン帝国,この時の神聖ローマ帝国の皇帝は誰？
都：サマルカンド　→のちにヘラートへ遷都,ティムール朝,
モハーチーの戦いで勝利した,オスマン帝国,領土としてどこを手に入れた？
ルーム･セルジューク朝から自立して建国,オスマン帝国,[年代暗記] 1299-1922
サラディンが建国した　イェルサレムを回復,アイユーブ朝,サラディンの本名は？
バグダードに入城してブワイフ朝滅亡へ,セルジューク朝,
デヴシルメ制でイェニチェリを用いた,オスマン帝国,デヴシルメ制･イェニチェリとは？
都：デリー　イスラーム系の5王朝まとめて,デリー＝スルタン朝,5王朝名はそれぞれ何？
チャルディラーンの戦いで勝利,オスマン帝国,相手はどこの誰？
ビザンツ帝国を滅ぼした,オスマン帝国,
シーア派　バグダード入城を果たす,ブワイフ朝,
アッバース朝を滅ぼした王朝,イル＝ハン国,
ザンベジ川下流の交易・鉱山開発・輸出,モノモタパ王国,
トゥール･ポワティエ間の戦いで敗れる,ウマイヤ朝,相手はどこの誰？
デリー＝スルタン朝の5番目　アフガン系,ロディー朝,残り4王朝の民族は何系？
ロディー朝をパーニーパットの戦いで破る,ムガル帝国,
